book_id,title,author,isbn,subject_area,genre,mood,tags,summary,publication_year,edition,language,page_count,rating
97,Like It Happened Yesterday,Ravinder Singh,9781965725665,Fiction/Stories,Romance,Dark | Suspenseful | Thrilling,romance;fiction;novel;leisure-reading;story,"This romance follows individuals confronting change in a world that refuses to stay still. Written in the tradition of romance, ""Like It Happened Yesterday"" explores themes of identity, belonging, and the choices that define a life. The result is a story that lingers well beyond its final page, popular among readers who return to it again and again.",2013,Special Edition,English (Indian edition),526,3.6
98,Your Dreams Are Mine Now,Ravinder Singh,9780922271160,Fiction/Stories,Romance,Thrilling,romance;fiction;novel;leisure-reading;story,"Set against a richly drawn backdrop, this romance follows a protagonist forced to navigate love, loyalty, and the weight of the past. Written in the tradition of romance, ""Your Dreams Are Mine Now"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",2015,Popular Edition,English (Indian edition),429,4.3
99,I Am Kalam,Ravinder Singh,9780107479831,Fiction/Stories,Contemporary Fiction,Thrilling | Fast-paced | Romantic,contemporary fiction;fiction;novel;leisure-reading;story,"A memorable entry in contemporary fiction, the story follows a central figure caught between duty and desire. Written in the tradition of contemporary fiction, ""I Am Kalam"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",2016,Reprint Edition,English (Indian edition),159,3.3
100,This Love That Feels Right,Ravinder Singh,9789366330532,Fiction/Stories,Romance,Calm | Heartwarming | Romantic,romance;fiction;novel;leisure-reading;story,"Spanning years and relationships, this romance traces a protagonist forced to navigate love, loyalty, and the weight of the past. Written in the tradition of romance, ""This Love That Feels Right"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",2017,Special Edition,English,203,4.7
101,The Ex-Boyfriend Wedding Planner,Ravinder Singh,9781799587248,Fiction/Stories,Romance,Mysterious,romance;fiction;novel;leisure-reading;story,"Set against a richly drawn backdrop, this romance follows a protagonist forced to navigate love, loyalty, and the weight of the past. Written in the tradition of romance, ""The Ex-Boyfriend Wedding Planner"" explores themes of identity, belonging, and the choices that define a life. The novel balances emotional depth with narrative pace, making it a perennial favourite among Indian readers.",2020,Popular Edition,English,360,4.9
102,Why We Broke Up,Various Indian Authors,9780716460978,Fiction/Stories,Romance,Suspenseful,romance;fiction;novel;leisure-reading;story,"Told with a distinct narrative voice, this novel follows lives shaped by history, tradition, and the quiet pressure of expectation. Written in the tradition of romance, ""Why We Broke Up"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",2015,Special Edition,English,611,3.5
103,It Started with a Friend Request,Sudeep Nagarkar,9780277048752,Fiction/Stories,Romance,Adventure | Magical,romance;fiction;novel;leisure-reading;story,"A memorable entry in romance, the story follows individuals confronting change in a world that refuses to stay still. Written in the tradition of romance, ""It Started with a Friend Request"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",2013,Popular Edition,English,246,4.5
104,Sorry You're Not My Type,Sudeep Nagarkar,9780143550501,Fiction/Stories,Romance,Adventure | Suspenseful | Historical,romance;fiction;novel;leisure-reading;story,"Told with a distinct narrative voice, this novel follows a protagonist forced to navigate love, loyalty, and the weight of the past. Written in the tradition of romance, ""Sorry You're Not My Type"" explores themes of identity, belonging, and the choices that define a life. The result is a story that lingers well beyond its final page, popular among readers who return to it again and again.",2014,Reprint Edition,English,179,3.8
105,She Swiped Right Into My Heart,Sudeep Nagarkar,9780601223435,Fiction/Stories,Romance,Fantasy | Romantic | Inspirational,romance;fiction;novel;leisure-reading;story,"In prose that lingers, Sudeep Nagarkar follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of romance, ""She Swiped Right Into My Heart"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",2017,Special Edition,English,233,3.4
106,Wrong Number,Durjoy Datta,9781939778925,Fiction/Stories,Romance,Educational,romance;fiction;novel;leisure-reading;story,"Set against a richly drawn backdrop, this romance follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of romance, ""Wrong Number"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",2010,Special Edition,English,226,4.3
107,Of Course I Love You,Durjoy Datta,9789358318357,Fiction/Stories,Romance,Adventure | Magical,romance;fiction;novel;leisure-reading;story,"A memorable entry in romance, the story follows lives shaped by history, tradition, and the quiet pressure of expectation. Written in the tradition of romance, ""Of Course I Love You"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",2008,Special Edition,English,327,3.7
108,If It's Not Forever,Durjoy Datta,9780891911647,Fiction/Stories,Romance,Thrilling | Mysterious,romance;fiction;novel;leisure-reading;story,"This romance follows individuals confronting change in a world that refuses to stay still. Written in the tradition of romance, ""If It's Not Forever"" explores themes of identity, belonging, and the choices that define a life. The result is a story that lingers well beyond its final page, popular among readers who return to it again and again.",2012,Reprint Edition,English,237,4.2
109,World's Best Boyfriend,Durjoy Datta,9789374336663,Fiction/Stories,Romance,Fast-paced | Funny | Romantic,romance;fiction;novel;leisure-reading;story,"This romance follows a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of romance, ""World's Best Boyfriend"" explores themes of identity, belonging, and the choices that define a life. The novel balances emotional depth with narrative pace, making it a perennial favourite among Indian readers.",2013,Paperback Edition,English,202,4.1
110,Someone Like You,Durjoy Datta,9789390007691,Fiction/Stories,Romance,Fantasy,romance;fiction;novel;leisure-reading;story,"Set against a richly drawn backdrop, this romance follows a journey that tests conviction as much as courage. Written in the tradition of romance, ""Someone Like You"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",2016,Reprint Edition,English,456,4.1
111,You Were My Crush,Durjoy Datta,9781825341769,Fiction/Stories,Romance,Epic,romance;fiction;novel;leisure-reading;story,"Spanning years and relationships, this romance traces a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of romance, ""You Were My Crush"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",2011,Paperback Edition,English,512,4.6
112,When Only Love Remains,Durjoy Datta,9780297865445,Fiction/Stories,Romance,Thought-provoking | Mysterious,romance;fiction;novel;leisure-reading;story,"In prose that lingers, Durjoy Datta follows lives shaped by history, tradition, and the quiet pressure of expectation. Written in the tradition of romance, ""When Only Love Remains"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",2015,Popular Edition,English,491,4.0
113,The Girl of My Dreams,Durjoy Datta,9781518638022,Fiction/Stories,Romance,Relaxing,romance;fiction;novel;leisure-reading;story,"Spanning years and relationships, this romance traces characters whose choices ripple across family, community, and circumstance. Written in the tradition of romance, ""The Girl of My Dreams"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",2011,Reprint Edition,English,319,4.2
114,Half a Marriage,Anuja Chauhan,9781407213712,Fiction/Stories,Romantic Comedy,Thought-provoking | Calm | Heartwarming,romantic comedy;fiction;novel;leisure-reading;story;romance,"Told with a distinct narrative voice, this novel follows a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of romantic comedy, ""Half a Marriage"" explores themes of identity, belonging, and the choices that define a life. The result is a story that lingers well beyond its final page, popular among readers who return to it again and again.",2022,1st Edition,English,433,3.4
115,Keep the Change,Preeti Shenoy,9789333778428,Fiction/Stories,Contemporary Fiction,Heartwarming,contemporary fiction;fiction;novel;leisure-reading;story,"Set against a richly drawn backdrop, this contemporary fiction follows a central figure caught between duty and desire. Written in the tradition of contemporary fiction, ""Keep the Change"" explores themes of identity, belonging, and the choices that define a life. The novel balances emotional depth with narrative pace, making it a perennial favourite among Indian readers.",2013,Reprint Edition,English,470,3.5
116,Life Is What You Make It,Preeti Shenoy,9789320713036,Fiction/Stories,Contemporary Fiction,Mysterious | Romantic,contemporary fiction;fiction;novel;leisure-reading;story,"In prose that lingers, Preeti Shenoy follows lives shaped by history, tradition, and the quiet pressure of expectation. Written in the tradition of contemporary fiction, ""Life Is What You Make It"" explores themes of identity, belonging, and the choices that define a life. The result is a story that lingers well beyond its final page, popular among readers who return to it again and again.",2011,1st Edition,English,609,3.4
117,Tea for Two and a Piece of Cake,Preeti Shenoy,9789395576178,Fiction/Stories,Contemporary Fiction,Dark | Educational | Mysterious,contemporary fiction;fiction;novel;leisure-reading;story,"A memorable entry in contemporary fiction, the story follows a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of contemporary fiction, ""Tea for Two and a Piece of Cake"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",2012,Paperback Edition,English,265,4.2
118,The Secret Wish List,Preeti Shenoy,9781926052496,Fiction/Stories,Contemporary Fiction,Epic,contemporary fiction;fiction;novel;leisure-reading;story,"A memorable entry in contemporary fiction, the story follows a central figure caught between duty and desire. Written in the tradition of contemporary fiction, ""The Secret Wish List"" explores themes of identity, belonging, and the choices that define a life. Widely read and re-read, it continues to resonate with readers looking for both entertainment and insight.",2012,Popular Edition,English,439,4.1
119,It's All in the Planets,Preeti Shenoy,9780588139989,Fiction/Stories,Romantic Comedy,Educational,romantic comedy;fiction;novel;leisure-reading;story;romance,"Told with a distinct narrative voice, this novel follows a journey that tests conviction as much as courage. Written in the tradition of romantic comedy, ""It's All in the Planets"" explores themes of identity, belonging, and the choices that define a life. The result is a story that lingers well beyond its final page, popular among readers who return to it again and again.",2016,Reprint Edition,English,519,4.2
120,A Hundred Little Flames,Preeti Shenoy,9781939886279,Fiction/Stories,Family Drama,Educational | Funny | Dark,family drama;fiction;novel;leisure-reading;story,"Spanning years and relationships, this family drama traces characters whose choices ripple across family, community, and circumstance. Written in the tradition of family drama, ""A Hundred Little Flames"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",2018,Paperback Edition,English,135,3.9
121,Half Blood,Nikita Singh,9789345170807,Fiction/Stories,Fantasy,Calm | Educational,fantasy;fiction;novel;leisure-reading;story,"Set against a richly drawn backdrop, this fantasy follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of fantasy, ""Half Blood"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",2014,Reprint Edition,English,248,3.9
122,Love @ Facebook,Nikita Singh,9781410406699,Fiction/Stories,Romance,Heartwarming | Dark,romance;fiction;novel;leisure-reading;story,"Told with a distinct narrative voice, this novel follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of romance, ""Love @ Facebook"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",2011,Popular Edition,English,583,3.7
123,After Happily Ever After,Nikita Singh,9780406295910,Fiction/Stories,Romance,Heartwarming | Calm,romance;fiction;novel;leisure-reading;story,"Spanning years and relationships, this romance traces a central figure caught between duty and desire. Written in the tradition of romance, ""After Happily Ever After"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",2012,Reprint Edition,English,500,4.5
124,Someone to Love,Nikita Singh,9781757917377,Fiction/Stories,Romance,Thought-provoking | Funny,romance;fiction;novel;leisure-reading;story,"This romance follows a protagonist forced to navigate love, loyalty, and the weight of the past. Written in the tradition of romance, ""Someone to Love"" explores themes of identity, belonging, and the choices that define a life. Widely read and re-read, it continues to resonate with readers looking for both entertainment and insight.",2013,Special Edition,English,353,3.6
125,Twenty Somethings,Iím Neha,9780363511788,Fiction/Stories,Contemporary Fiction,Epic,contemporary fiction;fiction;novel;leisure-reading;story,"Set against a richly drawn backdrop, this contemporary fiction follows a central figure caught between duty and desire. Written in the tradition of contemporary fiction, ""Twenty Somethings"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",2013,Popular Edition,English,290,4.2
126,The Zoya Factor (sequel),Anuja Chauhan,9781806854424,Fiction/Stories,Romantic Comedy,Relaxing,romantic comedy;fiction;novel;leisure-reading;story;romance,"In prose that lingers, Anuja Chauhan follows lives shaped by history, tradition, and the quiet pressure of expectation. Written in the tradition of romantic comedy, ""The Zoya Factor (sequel)"" explores themes of identity, belonging, and the choices that define a life. The novel balances emotional depth with narrative pace, making it a perennial favourite among Indian readers.",2020,Special Edition,English,440,3.6
127,Marrying Anita,Anita Jain,9789396643657,Fiction/Stories,Memoir Fiction,Fantasy | Educational,memoir fiction;fiction;novel;leisure-reading;story,"In prose that lingers, Anita Jain follows a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of memoir fiction, ""Marrying Anita"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",2008,Popular Edition,English,200,4.5
128,Anita and Me,Meera Syal,9781754839191,Fiction/Stories,Coming-of-age,Calm,coming of age;fiction;novel;leisure-reading;story,"A memorable entry in coming-of-age, the story follows a journey that tests conviction as much as courage. Written in the tradition of coming-of-age, ""Anita and Me"" explores themes of identity, belonging, and the choices that define a life. Widely read and re-read, it continues to resonate with readers looking for both entertainment and insight.",1996,Popular Edition,English,568,4.5
129,Londonstani,Gautam Malkani,9780859027304,Fiction/Stories,Contemporary Fiction,Historical,contemporary fiction;fiction;novel;leisure-reading;story,"Told with a distinct narrative voice, this novel follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of contemporary fiction, ""Londonstani"" explores themes of identity, belonging, and the choices that define a life. The novel balances emotional depth with narrative pace, making it a perennial favourite among Indian readers.",2006,Popular Edition,English,375,4.7
130,The Death of Vishnu,Manil Suri,9781862862753,Fiction/Stories,Literary Fiction,Mysterious,literary fiction;fiction;novel;leisure-reading;story,"In prose that lingers, Manil Suri follows lives shaped by history, tradition, and the quiet pressure of expectation. Written in the tradition of literary fiction, ""The Death of Vishnu"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",2001,Special Edition,English,139,3.3
131,The Age of Shiva,Manil Suri,9780527325596,Fiction/Stories,Literary Fiction,Historical,literary fiction;fiction;novel;leisure-reading;story,"Told with a distinct narrative voice, this novel follows a central figure caught between duty and desire. Written in the tradition of literary fiction, ""The Age of Shiva"" explores themes of identity, belonging, and the choices that define a life. The result is a story that lingers well beyond its final page, popular among readers who return to it again and again.",2008,1st Edition,English,201,4.8
132,The City of Devi,Manil Suri,9789303955590,Fiction/Stories,Literary Fiction,Hopeful | Mysterious | Emotional,literary fiction;fiction;novel;leisure-reading;story,"A memorable entry in literary fiction, the story follows individuals confronting change in a world that refuses to stay still. Written in the tradition of literary fiction, ""The City of Devi"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",2013,Popular Edition,English,217,4.7
133,Midnight's Furies,Nisid Hajari,9789390015368,Fiction/Stories,Historical Nonfiction Narrative,Inspirational | Thought-provoking,historical nonfiction narrative;fiction;novel;leisure-reading;story;history,"This historical nonfiction narrative follows individuals confronting change in a world that refuses to stay still. Written in the tradition of historical nonfiction narrative, ""Midnight's Furies"" explores themes of identity, belonging, and the choices that define a life. Widely read and re-read, it continues to resonate with readers looking for both entertainment and insight.",2015,Special Edition,English,310,4.1
134,The Long Walk Home,Various,9781819970111,Fiction/Stories,Historical Fiction,Funny | Historical | Hopeful,historical fiction;fiction;novel;leisure-reading;story;history,"Set against a richly drawn backdrop, this historical fiction follows a central figure caught between duty and desire. Written in the tradition of historical fiction, ""The Long Walk Home"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",2010,Special Edition,English,456,4.0
135,A Bend in the Ganges,Manohar Malgonkar,9789346363246,Fiction/Stories,Historical Fiction,Dark | Thought-provoking,historical fiction;fiction;novel;leisure-reading;story;history,"A memorable entry in historical fiction, the story follows a central figure caught between duty and desire. Written in the tradition of historical fiction, ""A Bend in the Ganges"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",1964,Paperback Edition,English,218,3.9
136,The Princes,Manohar Malgonkar,9789343079607,Fiction/Stories,Historical Fiction,Epic | Calm,historical fiction;fiction;novel;leisure-reading;story;history,"Told with a distinct narrative voice, this novel follows a journey that tests conviction as much as courage. Written in the tradition of historical fiction, ""The Princes"" explores themes of identity, belonging, and the choices that define a life. The result is a story that lingers well beyond its final page, popular among readers who return to it again and again.",1963,Paperback Edition,English,549,4.6
137,Ice-Candy-Man,Bapsi Sidhwa,9780784364932,Fiction/Stories,Historical Fiction,Relaxing | Historical | Inspirational,historical fiction;fiction;novel;leisure-reading;story;history,"Set against a richly drawn backdrop, this historical fiction follows a journey that tests conviction as much as courage. Written in the tradition of historical fiction, ""Ice-Candy-Man"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",1988,Popular Edition,English,563,4.8
138,The Pakistani Bride,Bapsi Sidhwa,9789358836905,Fiction/Stories,Historical Fiction,Adventure,historical fiction;fiction;novel;leisure-reading;story;history,"This historical fiction follows individuals confronting change in a world that refuses to stay still. Written in the tradition of historical fiction, ""The Pakistani Bride"" explores themes of identity, belonging, and the choices that define a life. Widely read and re-read, it continues to resonate with readers looking for both entertainment and insight.",1983,Special Edition,English,500,4.3
139,Cracking India,Bapsi Sidhwa,9781616002725,Fiction/Stories,Historical Fiction,Fantasy | Suspenseful | Educational,historical fiction;fiction;novel;leisure-reading;story;history,"Set against a richly drawn backdrop, this historical fiction follows lives shaped by history, tradition, and the quiet pressure of expectation. Written in the tradition of historical fiction, ""Cracking India"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",1991,1st Edition,English,354,3.5
140,Basti,Intizar Husain,9781207183444,Fiction/Stories,Literary Fiction,Hopeful | Dark,literary fiction;fiction;novel;leisure-reading;story,"A memorable entry in literary fiction, the story follows a journey that tests conviction as much as courage. Written in the tradition of literary fiction, ""Basti"" explores themes of identity, belonging, and the choices that define a life. The novel balances emotional depth with narrative pace, making it a perennial favourite among Indian readers.",1979,Paperback Edition,English,139,4.6
141,Tamas,Bhisham Sahni,9780170048217,Fiction/Stories,Historical Fiction,Relaxing,historical fiction;fiction;novel;leisure-reading;story;history,"Told with a distinct narrative voice, this novel follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of historical fiction, ""Tamas"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",1974,Popular Edition,English,496,4.0
142,Pinjar,Amrita Pritam,9789304736372,Fiction/Stories,Historical Fiction,Mysterious | Relaxing,historical fiction;fiction;novel;leisure-reading;story;history,"Set against a richly drawn backdrop, this historical fiction follows individuals confronting change in a world that refuses to stay still. Written in the tradition of historical fiction, ""Pinjar"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",1950,Popular Edition,English,530,4.0
143,The Skeleton,Amrita Pritam,9781763994041,Fiction/Stories,Historical Fiction,Suspenseful,historical fiction;fiction;novel;leisure-reading;story;history,"Spanning years and relationships, this historical fiction traces a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of historical fiction, ""The Skeleton"" explores themes of identity, belonging, and the choices that define a life. The result is a story that lingers well beyond its final page, popular among readers who return to it again and again.",1950,Paperback Edition,English,135,3.4
144,Raag Darbari,Shrilal Shukla,9780786813490,Fiction/Stories,Satire,Adventure,satire;fiction;novel;leisure-reading;story,"In prose that lingers, Shrilal Shukla follows a journey that tests conviction as much as courage. Written in the tradition of satire, ""Raag Darbari"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",1968,Paperback Edition,English,209,4.1
145,Godaan,Munshi Premchand,9781742236216,Fiction/Stories,Literary Fiction,Thought-provoking,literary fiction;fiction;novel;leisure-reading;story,"In prose that lingers, Munshi Premchand follows lives shaped by history, tradition, and the quiet pressure of expectation. Written in the tradition of literary fiction, ""Godaan"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",1936,1st Edition,English,227,4.1
146,Gaban,Munshi Premchand,9780265831687,Fiction/Stories,Literary Fiction,Fantasy,literary fiction;fiction;novel;leisure-reading;story,"This literary fiction follows a journey that tests conviction as much as courage. Written in the tradition of literary fiction, ""Gaban"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",1931,1st Edition,English,245,3.8
147,Nirmala,Munshi Premchand,9780914581789,Fiction/Stories,Literary Fiction,Thought-provoking | Emotional,literary fiction;fiction;novel;leisure-reading;story,"This literary fiction follows a central figure caught between duty and desire. Written in the tradition of literary fiction, ""Nirmala"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",1925,Popular Edition,English,308,3.5
148,Karmabhoomi,Munshi Premchand,9780655563648,Fiction/Stories,Literary Fiction,Romantic,literary fiction;fiction;novel;leisure-reading;story,"Told with a distinct narrative voice, this novel follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of literary fiction, ""Karmabhoomi"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",1932,Popular Edition,English,174,4.4
149,The Chess Players and Other Stories,Munshi Premchand,9781761180255,Fiction/Stories,Short Stories,Mysterious | Heartwarming,short stories;fiction;novel;leisure-reading;story,"This short stories follows a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of short stories, ""The Chess Players and Other Stories"" explores themes of identity, belonging, and the choices that define a life. Widely read and re-read, it continues to resonate with readers looking for both entertainment and insight.",1924,Reprint Edition,English,418,4.4
150,Devdas,Sarat Chandra Chattopadhyay,9789323311352,Fiction/Stories,Romance,Adventure,romance;fiction;novel;leisure-reading;story,"Told with a distinct narrative voice, this novel follows a journey that tests conviction as much as courage. Written in the tradition of romance, ""Devdas"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",1917,1st Edition,English,420,4.5
151,Parineeta,Sarat Chandra Chattopadhyay,9789300862921,Fiction/Stories,Romance,Fast-paced | Historical | Adventure,romance;fiction;novel;leisure-reading;story,"Set against a richly drawn backdrop, this romance follows individuals confronting change in a world that refuses to stay still. Written in the tradition of romance, ""Parineeta"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",1914,Paperback Edition,English,504,4.7
152,Srikanta,Sarat Chandra Chattopadhyay,9781623975609,Fiction/Stories,Literary Fiction,Magical | Inspirational,literary fiction;fiction;novel;leisure-reading;story,"In prose that lingers, Sarat Chandra Chattopadhyay follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of literary fiction, ""Srikanta"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",1917,Popular Edition,English,393,4.8
153,Chokher Bali,Rabindranath Tagore,9780415820615,Fiction/Stories,Literary Fiction,Fast-paced,literary fiction;fiction;novel;leisure-reading;story,"Spanning years and relationships, this literary fiction traces a central figure caught between duty and desire. Written in the tradition of literary fiction, ""Chokher Bali"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",1903,1st Edition,English,556,3.4
154,Gora,Rabindranath Tagore,9781531667610,Fiction/Stories,Literary Fiction,Historical | Epic,literary fiction;fiction;novel;leisure-reading;story,"A memorable entry in literary fiction, the story follows individuals confronting change in a world that refuses to stay still. Written in the tradition of literary fiction, ""Gora"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",1910,Paperback Edition,English,193,3.9
155,The Home and the World,Rabindranath Tagore,9789384701802,Fiction/Stories,Literary Fiction,Thought-provoking,literary fiction;fiction;novel;leisure-reading;story,"Spanning years and relationships, this literary fiction traces lives shaped by history, tradition, and the quiet pressure of expectation. Written in the tradition of literary fiction, ""The Home and the World"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",1916,Reprint Edition,English,582,4.9
156,Kabuliwala and Other Stories,Rabindranath Tagore,9780437247308,Fiction/Stories,Short Stories,Educational | Heartwarming,short stories;fiction;novel;leisure-reading;story,"A memorable entry in short stories, the story follows a journey that tests conviction as much as courage. Written in the tradition of short stories, ""Kabuliwala and Other Stories"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",1892,Special Edition,English,325,4.6
157,Gitanjali,Rabindranath Tagore,9781634592949,Fiction/Stories,Poetry,Inspirational | Educational | Fantasy,poetry;fiction;novel;leisure-reading;story,"A memorable entry in poetry, the story follows a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of poetry, ""Gitanjali"" explores themes of identity, belonging, and the choices that define a life. The novel balances emotional depth with narrative pace, making it a perennial favourite among Indian readers.",1910,Popular Edition,English,138,3.9
158,Two Sisters,Rabindranath Tagore,9780111099520,Fiction/Stories,Literary Fiction,Historical | Funny | Suspenseful,literary fiction;fiction;novel;leisure-reading;story,"A memorable entry in literary fiction, the story follows individuals confronting change in a world that refuses to stay still. Written in the tradition of literary fiction, ""Two Sisters"" explores themes of identity, belonging, and the choices that define a life. Widely read and re-read, it continues to resonate with readers looking for both entertainment and insight.",1940,Special Edition,English,603,4.6
159,Kapalkundala,Bankim Chandra Chattopadhyay,9789335101217,Fiction/Stories,Literary Fiction,Emotional | Mysterious,literary fiction;fiction;novel;leisure-reading;story,"In prose that lingers, Bankim Chandra Chattopadhyay follows lives shaped by history, tradition, and the quiet pressure of expectation. Written in the tradition of literary fiction, ""Kapalkundala"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",1866,Popular Edition,English,227,4.8
160,Anandamath,Bankim Chandra Chattopadhyay,9789314571857,Fiction/Stories,Historical Fiction,Romantic | Inspirational | Calm,historical fiction;fiction;novel;leisure-reading;story;history,"Set against a richly drawn backdrop, this historical fiction follows a protagonist forced to navigate love, loyalty, and the weight of the past. Written in the tradition of historical fiction, ""Anandamath"" explores themes of identity, belonging, and the choices that define a life. It remains a favourite on library shelves across India, cherished for its warmth and honesty.",1882,Paperback Edition,English,144,4.1
161,Durgeshnandini,Bankim Chandra Chattopadhyay,9789397062617,Fiction/Stories,Historical Fiction,Epic,historical fiction;fiction;novel;leisure-reading;story;history,"A memorable entry in historical fiction, the story follows a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of historical fiction, ""Durgeshnandini"" explores themes of identity, belonging, and the choices that define a life. The result is a story that lingers well beyond its final page, popular among readers who return to it again and again.",1865,Popular Edition,English,479,3.6
162,Chemmeen,Thakazhi Sivasankara Pillai,9781559723312,Fiction/Stories,Literary Fiction,Hopeful | Historical,literary fiction;fiction;novel;leisure-reading;story,"This literary fiction follows lives shaped by history, tradition, and the quiet pressure of expectation. Written in the tradition of literary fiction, ""Chemmeen"" explores themes of identity, belonging, and the choices that define a life. Widely read and re-read, it continues to resonate with readers looking for both entertainment and insight.",1956,1st Edition,English,269,4.1
163,Chidambara Smaranakal,Balachandran Chullikkadu,9789370792067,Fiction/Stories,Memoir Fiction,Romantic | Mysterious | Relaxing,memoir fiction;fiction;novel;leisure-reading;story,"Set against a richly drawn backdrop, this memoir fiction follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of memoir fiction, ""Chidambara Smaranakal"" explores themes of identity, belonging, and the choices that define a life. The novel balances emotional depth with narrative pace, making it a perennial favourite among Indian readers.",1985,Paperback Edition,English,579,3.7
